Current Price,Link,Name,Old Price,Product code/number
$12.99,http://www.hm.com/us/product/69264?article=69264-B,Jersey Top with Ruffles,$24.99,69264-B
$3.99,http://www.hm.com/us/product/26321?article=26321-M,V-neck Jersey Top,$5.99,26321-M
$7.99,http://www.hm.com/us/product/67584?article=67584-A,Lyocell Top,$14.99,67584-A
$2.99,http://www.hm.com/us/product/46245?article=46245-H,Jersey Camisole Top,$4.99,46245-H
$5.99,http://www.hm.com/us/product/68161?article=68161-A,Jersey Top,$12.99,68161-A
$9.99,http://www.hm.com/us/product/66557?article=66557-A,Printed Jersey Bodysuit,$14.99,66557-A
$3.99,http://www.hm.com/us/product/46245?article=46245-D,Jersey Camisole Top,$4.99,46245-D
$9.99,http://www.hm.com/us/product/65632?article=65632-A,Metallic Bodysuit,$17.99,65632-A
$12.99,http://www.hm.com/us/product/68936?article=68936-B,Wide T-shirt with Chest Pocket,$24.99,68936-B
$7.99,http://www.hm.com/us/product/67360?article=67360-B,Nepped T-shirt,$17.99,67360-B
$9.99,http://www.hm.com/us/product/69666?article=69666-B,Embroidered Mesh Top,$17.99,69666-B
$9.99,http://www.hm.com/us/product/64623?article=64623-H,T-shirt with Motif,$17.99,64623-H
$9.99,http://www.hm.com/us/product/67573?article=67573-F,Ruffled Top,$17.99,67573-F
$5.99,http://www.hm.com/us/product/70480?article=70480-A,Ribbed Jersey Top,$12.99,70480-A
$9.99,http://www.hm.com/us/product/70618?article=70618-C,T-shirt with Printed Design,$17.99,70618-C
$5.99,http://www.hm.com/us/product/38141?article=38141-X,Long-sleeved Jersey Top,$12.99,38141-X
$5.99,http://www.hm.com/us/product/70360?article=70360-A,Top with Printed Design,$12.99,70360-A
$5.99,http://www.hm.com/us/product/62593?article=62593-D,Cotton-blend T-shirt,$9.99,62593-D
$5.99,http://www.hm.com/us/product/55540?article=55540-H,V-neck Jersey Top,$9.99,55540-H
$9.99,http://www.hm.com/us/product/68093?article=68093-B,Camisole Top with Knot,$14.99,68093-B
$9.99,http://www.hm.com/us/product/43335?article=43335-D,Long Linen-blend T-shirt,$17.99,43335-D
$5.99,http://www.hm.com/us/product/54630?article=54630-E,Slub Jersey Top,$12.99,54630-E
$5.99,http://www.hm.com/us/product/65001?article=65001-A,Long-sleeved Jersey Top,$12.99,65001-A
$7.99,http://www.hm.com/us/product/65897?article=65897-B,Short Top,$12.99,65897-B
$7.99,http://www.hm.com/us/product/59740?article=59740-C,Ribbed Polo Shirt,$17.99,59740-C
$9.99,http://www.hm.com/us/product/44914?article=44914-L,Jersey Crêpe Top,$17.99,44914-L
$7.99,http://www.hm.com/us/product/58455?article=58455-C,V-neck Sweater,$14.99,58455-C
$7.99,http://www.hm.com/us/product/60953?article=60953-C,Top with Woven Front Section,$14.99,60953-C
$7.99,http://www.hm.com/us/product/60675?article=60675-Z,T-shirt with Motif,$12.99,60675-Z
$9.99,http://www.hm.com/us/product/65666?article=65666-B,Linen Scoop-neck Top,$17.99,65666-B
$9.99,http://www.hm.com/us/product/65256?article=65256-B,V-neck Jersey Top,$14.99,65256-B
$5.99,http://www.hm.com/us/product/62231?article=62231-A,Jersey T-shirt,$12.99,62231-A
$17.99,http://www.hm.com/us/product/62613?article=62613-E,Lace Top,$29.99,62613-E
$9.99,http://www.hm.com/us/product/65256?article=65256-A,V-neck Jersey Top,$14.99,65256-A
$9.99,http://www.hm.com/us/product/65389?article=65389-C,T-shirt with Printed Design,$14.99,65389-C
$6.99,http://www.hm.com/us/product/38006?article=38006-C,Jersey Top,$9.99,38006-C
$7.99,http://www.hm.com/us/product/65484?article=65484-D,Fine-knit Top,$17.99,65484-D
$5.99,http://www.hm.com/us/product/70480?article=70480-C,Ribbed Jersey Top,$12.99,70480-C
$9.99,http://www.hm.com/us/product/67801?article=67801-A,Draped Top,$17.99,67801-A
$6.99,http://www.hm.com/us/product/70462?article=70462-C,Lyocell Jersey Tank Top,$12.99,70462-C
$7.99,http://www.hm.com/us/product/67854?article=67854-B,Bustier,$14.99,67854-B
$9.99,http://www.hm.com/us/product/65256?article=65256-C,V-neck Jersey Top,$14.99,65256-C
$9.99,http://www.hm.com/us/product/60584?article=60584-A,Long-sleeved Bodysuit,$14.99,60584-A
$9.99,http://www.hm.com/us/product/41533?article=41533-E,Fine-knit Top,$17.99,41533-E
