Current Price,Link,Name,Old Price,Product code/number
$7.99,http://www.hm.com/us/product/34980?article=34980-B,Jersey Top,$12.99,34980-B
$12.99,http://www.hm.com/us/product/42288?article=42288-A,Sleeveless Jersey Top,$24.99,42288-A
$17.99,http://www.hm.com/us/product/67464?article=67464-A,Top with Smocking,$29.99,67464-A
$14.99,http://www.hm.com/us/product/68689?article=68689-A,Crêped Jersey Top,$29.99,68689-A
$14.99,http://www.hm.com/us/product/66151?article=66151-A,Jersey Top with Printed Design,$24.99,66151-A
$12.99,http://www.hm.com/us/product/62288?article=62288-B,Camisole Top with Mesh Detail,$17.99,62288-B
$7.99,http://www.hm.com/us/product/39799?article=39799-D,Jersey Top,$14.99,39799-D
$17.99,http://www.hm.com/us/product/65437?article=65437-A,Lyocell Top,$29.99,65437-A
$19.99,http://www.hm.com/us/product/53502?article=53502-A,Halterneck Top,$34.99,53502-A
$7.99,http://www.hm.com/us/product/67836?article=67836-B,One-shoulder Top,$17.99,67836-B
$14.99,http://www.hm.com/us/product/63091?article=63091-A,Tank Top with Ties,$24.99,63091-A
$9.99,http://www.hm.com/us/product/58380?article=58380-A,Jersey Top,$14.99,58380-A
$17.99,http://www.hm.com/us/product/60536?article=60536-A,Sequin-embroidered Bustier,$34.99,60536-A
$14.99,http://www.hm.com/us/product/82397?article=82397-A,Chiffon Top,$39.99,82397-A
$20,http://www.hm.com/us/product/98637?article=98637-A,Beaded Lace Top,$39.95,98637-A
$9.99,http://www.hm.com/us/product/70150?article=70150-C,Crushed-velvet Top,$14.99,70150-C
$12.99,http://www.hm.com/us/product/57920?article=57920-D,Long Jersey Top,$24.99,57920-D
$9.99,http://www.hm.com/us/product/56526?article=56526-B,Ribbed Top,$14.99,56526-B
$14.99,http://www.hm.com/us/product/67070?article=67070-A,Handkerchief Top,$24.99,67070-A
$19.99,http://www.hm.com/us/product/55497?article=55497-C,V-neck Camisole Top,$39.99,55497-C
$14.99,http://www.hm.com/us/product/60761?article=60761-A,Short Top,$24.99,60761-A
$14.99,http://www.hm.com/us/product/59142?article=59142-A,Long-sleeved Jersey Top,$29.99,59142-A
$19.99,http://www.hm.com/us/product/58495?article=58495-A,Sequined Tank Top,$34.99,58495-A
$14.99,http://www.hm.com/us/product/69616?article=69616-A,Velour Top,$24.99,69616-A
$9.99,http://www.hm.com/us/product/61712?article=61712-D,Draped Top,$19.99,61712-D
$12.99,http://www.hm.com/us/product/54285?article=54285-B,Long-sleeved Jersey Top,$17.99,54285-B
$9.99,http://www.hm.com/us/product/64828?article=64828-E,Jersey Top,$14.99,64828-E
$19.99,http://www.hm.com/us/product/38130?article=38130-C,Long-sleeved Lace Top,$24.99,38130-C
$17.99,http://www.hm.com/us/product/52822?article=52822-A,Sleeveless Turtleneck Sweater,$24.99,52822-A
$12.99,http://www.hm.com/us/product/58826?article=58826-A,V-neck Camisole Top,$14.99,58826-A
$14.99,http://www.hm.com/us/product/44550?article=44550-B,Fine-knit Glittery Top,$24.99,44550-B
$7.99,http://www.hm.com/us/product/56300?article=56300-F,Ribbed Jersey Top,$17.99,56300-F
$10,http://www.hm.com/us/product/76777?article=76777-B,Ribbed Top,$17.95,76777-B
$24.99,http://www.hm.com/us/product/69676?article=69676-A,Crushed-velvet Camisole Top,$34.99,69676-A
$19.99,http://www.hm.com/us/product/55497?article=55497-E,V-neck Camisole Top,$39.99,55497-E
$7.99,http://www.hm.com/us/product/67836?article=67836-A,One-shoulder Top,$17.99,67836-A
$12.99,http://www.hm.com/us/product/46814?article=46814-G,V-neck Top,$29.99,46814-G
$9.99,http://www.hm.com/us/product/64990?article=64990-A,T-shirt with Printed Design,$14.99,64990-A
$12.99,http://www.hm.com/us/product/62754?article=62754-B,Long-sleeved Top,$17.99,62754-B
$19.99,http://www.hm.com/us/product/67857?article=67857-A,V-neck Camisole Top,$34.99,67857-A
$9.99,http://www.hm.com/us/product/61028?article=61028-A,Top with Open Back,$17.99,61028-A
$14.99,http://www.hm.com/us/product/67944?article=67944-B,Fitted Lace Top,$24.99,67944-B
$12.99,http://www.hm.com/us/product/39668?article=39668-B,Ribbed Jersey Top,$24.99,39668-B
$17.99,http://www.hm.com/us/product/59381?article=59381-A,Sequined Camisole Top,$34.99,59381-A
$17.99,http://www.hm.com/us/product/60992?article=60992-B,V-neck Bodysuit,$24.99,60992-B
$7.99,http://www.hm.com/us/product/47998?article=47998-B,Jersey Tank Top,$12.99,47998-B
$14.99,http://www.hm.com/us/product/39074?article=39074-A,Jersey Top with Lace,$24.99,39074-A
$17.99,http://www.hm.com/us/product/58956?article=58956-B,Glittery Camisole Top,$24.99,58956-B
$14.99,http://www.hm.com/us/product/53308?article=53308-A,Short Glittery Top,$29.99,53308-A
$7.99,http://www.hm.com/us/product/30028?article=30028-A,Long-sleeved Jersey Top,$12.99,30028-A
$14.99,http://www.hm.com/us/product/69616?article=69616-C,Velour Top,$24.99,69616-C
$9.99,http://www.hm.com/us/product/56889?article=56889-D,Ribbed Top,$17.99,56889-D
$29.99,http://www.hm.com/us/product/58474?article=58474-A,Sequined Top,$49.99,58474-A
$14.99,http://www.hm.com/us/product/51196?article=51196-D,Sleeveless Top,$29.99,51196-D
$9.99,http://www.hm.com/us/product/55410?article=55410-B,Mock-turtleneck Top,$17.99,55410-B
$17.99,http://www.hm.com/us/product/62105?article=62105-A,Short Top with Lacing,$29.99,62105-A
$12.99,http://www.hm.com/us/product/54285?article=54285-A,Long-sleeved Jersey Top,$17.99,54285-A
$9.99,http://www.hm.com/us/product/64828?article=64828-D,Jersey Top,$14.99,64828-D
$19.99,http://www.hm.com/us/product/55016?article=55016-A,Ribbed Mock Turtleneck Sweater,$34.99,55016-A
$17.99,http://www.hm.com/us/product/59269?article=59269-A,Ruffled Top,$29.99,59269-A
$9.99,http://www.hm.com/us/product/66218?article=66218-D,Long-sleeved T-shirt,$17.99,66218-D
$17.99,http://www.hm.com/us/product/58956?article=58956-A,Glittery Camisole Top,$24.99,58956-A
$17.99,http://www.hm.com/us/product/50693?article=50693-C,V-neck Top,$29.99,50693-C
$12.99,http://www.hm.com/us/product/88680?article=88680-M,Fitted Jersey Top,$24.99,88680-M
$12.99,http://www.hm.com/us/product/30892?article=30892-A,Lace Top,$24.95,30892-A
$9.99,http://www.hm.com/us/product/65588?article=65588-A,Ribbed Top,$17.99,65588-A
$24.99,http://www.hm.com/us/product/56723?article=56723-A,Satin Peplum Top,$34.99,56723-A
$14.99,http://www.hm.com/us/product/60809?article=60809-A,Flounced Chiffon Camisole Top,$29.99,60809-A
$29.99,http://www.hm.com/us/product/55491?article=55491-B,Sequined Camisole Top,$49.99,55491-B
$14.99,http://www.hm.com/us/product/45952?article=45952-B,Cropped Camisole Top,$29.99,45952-B
$17.99,http://www.hm.com/us/product/41726?article=41726-A,Camisole Top,$34.99,41726-A
$6.99,http://www.hm.com/us/product/22590?article=22590-S,Jersey Top,$9.99,22590-S
$17.99,http://www.hm.com/us/product/46224?article=46224-A,Sleeveless Chiffon Top,$24.99,46224-A
$34.99,http://www.hm.com/us/product/37042?article=37042-B,Glittery Top,$49.99,37042-B
